Gene.symbol	Gene.ID	adj.P.Val	logFC
NDUFB9	4715	0.0114440625488704	-0.532912531901363
		0.0114536844254952	0.358229448668933
ERAL1	26284	0.0114725071124947	-1.041520649178
NHSL2	340527	0.0114734884744544	1.46314331252041
ERICH1	157697	0.0114793877705873	0.51420338784127
SCRT1	83482	0.0114860222697019	0.627417282365078
LTA	4049	0.0114916403587681	0.453430691429703
		0.0115060515916574	0.56304578887755
POGLUT1	56983	0.0115086330632146	-1.02323343486961
LRPPRC	10128	0.0115231986715964	-1.44330461788322
LOX	4015	0.0115243209792907	-0.799421074352609
COL6A6	131873	0.0115319566627375	-0.552329525498867
ABCB10	23456	0.0115396826462889	-0.408765584100908
RPL5	6125	0.0115450687792703	-0.954407793047622
ABCD3	5825	0.011569963521989	-1.0218864925771
		0.0115706461401319	0.843698378369614
		0.011608415711051	0.539968202418367
		0.0116279007492206	-0.873969663498868
		0.0116434252884868	0.344462018713151
		0.0116528226516834	0.302619215079366
BCCIP	56647	0.0116528226516834	-0.836266970621318
NHP2	55651	0.0116528226516834	-0.97299042409184
LSM1	27257	0.0116607784779537	-0.320489511314061
ZNF365	22891	0.0116607784779537	0.277482507418367
PABPC1	26986	0.0116607784779537	-0.53086663819048
		0.0116607784779537	-0.620572831573696
DMTF1	9988	0.0116702871242615	0.478135846821992
LOC400927-CSNK1E///CSNK1E	102800317///1454	0.0116807910804998	-0.491645446900228
		0.0116940576490341	0.429405896886621
		0.0116983072359953	0.433824138117913
		0.0116983072359953	0.45183514466213
CTBP2	1488	0.0116983072359953	-1.22176990243084
ZSCAN31	64288	0.0117015703666192	-0.356200998286849
EDN1	1906	0.0117015703666192	0.416781159062357
SVBP	374969	0.0117035270164781	0.858272933126982
		0.01172835938399	-0.336973464453516
FAM69B	138311	0.0117319816253483	-0.598600484328799
ZNF124	7678	0.011735133935145	-0.965352848196146
ESF1	51575	0.0117366136856747	-1.07123883290136
ZNF552	79818	0.011738528717049	0.94068547639456
AGR2	10551	0.0117403130889471	-0.327502366876419
PXDN	7837	0.011744215386859	-0.715799384768708
ZC3H4	23211	0.011744215386859	0.36555939323129
KCNMB3	27094	0.0117532335873706	0.583008554561222
FAM153C///FAM153A///FAM153B	653316///285596///202134	0.0117639154968133	1.12933564905442
ECEL1P2	347694	0.0117701391812515	0.442692932039682
		0.0117825697655058	0.288245304799319
		0.0118064547069258	0.680892313089566
KCNQ1	3784	0.0118064547069258	0.731039164812924
		0.0118084936638048	0.760152440845804
		0.0118094614823369	0.251622342929704
CEP41///CEP41	95681///95681	0.0118099063125757	-0.850965391046488
		0.0118099063125757	0.355907127280044
PRDM5	11107	0.0118259341545376	0.807424779541949
PEF1	553115	0.0118259341545376	0.526692632478456
		0.0118364157716729	0.929942956781177
		0.0118364157716729	-0.537042912691614
		0.0118534649124686	-0.51161359658957
ATRIP///TREX1	84126///11277	0.0118621383199843	0.26455002621882
		0.0118654635065881	0.414671931134918
PPIP5K1	9677	0.0118661558554784	-0.663575737854876
		0.0118730361825388	0.378795333340134
		0.0118764377076184	-1.04137255615533
KIF3B	9371	0.0118940663079572	0.395917049529479
ZNF239	8187	0.0119001708961125	0.529211420310655
RNF130	55819	0.0119247217470894	-1.3830110259195
COL2A1	1280	0.0119254581661728	0.330768104756233
SMARCAL1	50485	0.0119300988134849	-0.578049377212021
SERPINB6	5269	0.0119311879901521	-0.810219471240365
GBP6	163351	0.0119311879901521	0.684275575285713
FNDC5	252995	0.0119423348944298	0.481634464155328
		0.0119460341735983	0.380434571944438
METTL7A	25840	0.0119523829069884	-1.5450716419161
CDC42EP1	11135	0.0119565040187448	0.454021036747164
HIST1H4B	8366	0.0119646186435238	-0.933173320496603
		0.0119702847868546	0.640305758441043
CTRL	1506	0.011977203357337	0.555814985154193
		0.0119953330118243	0.548498963675736
FNDC3B	64778	0.0119959814556765	-1.18799777449773
CYP21A1P///CYP21A2	1590///1589	0.0120142773181809	0.463375562339002
DNAJC25-GNG10///GNG10	552891///2790	0.012018400589156	1.46703325487642
TBX1	6899	0.0120394540421157	-0.351181338616781
CPAMD8	27151	0.0120561822877411	0.522977916877549
		0.0120561822877411	0.592721648252835
		0.0120661708869489	0.482511561767572
RNU6ATAC	100151684	0.012069526276989	0.626886985273241
SLC24A3	57419	0.0120714048435755	-0.921101635487529
		0.0120714048435755	0.902307722926302
NECTIN3	25945	0.0120827336431891	0.715387335776643
ZNF428	126299	0.012098008125611	-0.524284104366215
		0.012098008125611	0.533271590258503
APOM	55937	0.0121052314286982	0.442032249741494
UBR2	23304	0.0121095489551101	0.740779784066888
CTSA	5476	0.012111721295255	-0.75145933880159
		0.012111721295255	-0.550874885814062
GCM1	8521	0.0121376708017123	1.16543957407483
SAR1A	56681	0.0121464025803015	0.31103982060657
		0.0121885338329529	-0.780876045333335
ZBTB43	23099	0.0122184549579455	-0.680578859522678
HSPB2-C11orf52///C11orf52	100528019///91894	0.0122275344298746	0.355995867017007
SF3A1	10291	0.0122375768123671	0.325868770833329
ZNF609	23060	0.0122474490094834	-0.486242043927441
NUP188	23511	0.0122474490094834	-0.920617199456916
		0.0122474490094834	-0.980171190523813
SNORD104	692227	0.0122668935037584	0.750244989221086
		0.0122733199457439	0.303270638911564
FAM86HP///FAM86B1///FAM86C1	729375///85002///55199	0.0122760853401556	-0.815617961264172
WASL	8976	0.0123225545911809	0.395586001980724
LOC105377021	105377021	0.0123340117368481	-0.374764672513606
CCDC110	256309	0.0123453360070325	0.307657000639455
OSTC	58505	0.0123665494338162	-0.771104167527215
FANCE	2178	0.0123693008340605	0.453831145712016
		0.0123737338948669	0.702815940591836
FCGBP	8857	0.0123865034433529	0.669046131339001
		0.0123882121212256	0.391394919021542
TMEM170A	124491	0.0123924852523247	0.885194753143988
SLC16A4	9122	0.0123924852523247	0.502937745654194
		0.012394451581889	0.683938997965985
CDK2AP2	10263	0.012394451581889	0.413289467821994
PCNX1	22990	0.012394451581889	0.607492370265303
WDR5B	54554	0.0124027096707017	0.464619032905896
		0.012403502327454	0.686371532938776
NQO1	1728	0.0124076310362275	-0.610470463216554
ZNF683	257101	0.0124076310362275	0.414920922859408
		0.0124101161769615	0.606728540097505
NR1D1	9572	0.0124135431507718	0.564270976986392
RBM48	84060	0.0124285499700976	0.634296067199545
YPEL4	219539	0.0124285499700976	-0.435576503487529
ZNF701	55762	0.0124389902607003	0.701168266392289
PROC	5624	0.0124494427962314	0.567365394251701
IFI35	3430	0.0124538955829464	0.540707159626982
PTPN23	25930	0.0124608349332765	0.298284815071427
TMEM187	8269	0.0124608349332765	0.38941409071882
CCDC13	152206	0.012484722312036	0.461910062193876
SYNPO	11346	0.012484722312036	0.491686783052153
GTPBP10	85865	0.012502662432787	0.672122717975056
		0.0125085486921533	0.571406989619047
		0.0125153084493573	-0.565498337208616
ANAPC5	51433	0.0125485329794263	-0.510525928731294
GUCA1B	2979	0.0125536358919469	0.299286257044217
OR10S1	219873	0.0125551504868119	0.423467166899091
NDUFS6	4726	0.0125661927791019	-0.396256596413834
ADTRP	84830	0.0125685034007907	0.525125068446712
FBXO28	23219	0.0125857546430726	0.32618510458163
ATF7IP	55729	0.0125890718161389	0.741893360146255
MESDC1	59274	0.0125890718161389	0.380919518518138
LRRC75A	388341	0.0125974175601032	0.62147901199433
		0.0126193764779443	-0.328567092637189
SNHG1///SNORD25	23642///9303	0.0126316727779418	-1.59877603603402
MIR622///KRT18	693207///3875	0.0126345078424574	-0.948256700116781
ZNF235	9310	0.0126469168185418	0.605346959912697
MTA2	9219	0.0126480077060023	-0.603217598524944
OMG	4974	0.012654723045332	1.08598201991043
ELF1	1997	0.0126679573300992	-0.335036376984133
SLC35B4	84912	0.0126700667040341	-0.911722990836735
		0.0126755317004571	0.314919800825396
		0.01267780605596	0.579694117659862
		0.0126834418071816	0.684781532664398
C12orf45	121053	0.0126871451294179	-0.816060223447847
		0.0126884304575699	0.882393688119047
		0.0127340564016568	-0.567585627668935
		0.0127430978947044	2.02094006568821
1060P11.3///KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1	100506173///100132285///553128///115653///57292///3813///3812///3811///3810///3809///3808///3806///3804///3803///3802///3813///3812///3811///3810///3808///3802	0.0127430978947044	0.42447666835034
CD300C	10871	0.0127509859711941	-1.11885194275397
		0.0127684383103097	0.913437047327665
SCARNA4	677771	0.0127684383103097	1.36728423944558
		0.0127698700392472	0.78970902499433
MIA-RAB4B///MIA	100529262///8190	0.0127772303548722	0.392308313332199
		0.0127805595742079	-1.28076478480839
KIAA2013	90231	0.0127976611606965	0.552351565685941
GALT	2592	0.0128000486747401	0.573867210535143
		0.0128264845737575	0.35102659636848
KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL4///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1	100132285///553128///115653///57292///3813///3812///3811///3810///3809///3808///3806///3805///3804///3803///3802///3813///3812///3811///3810///3808///3802	0.0128339754120823	0.646999206502267
ST8SIA1	6489	0.0128339754120823	1.02621137965646
PDCD11	22984	0.0128339754120823	-0.730791597191612
EID1	23741	0.012842961293789	-0.821551537151928
OR10H5	284433	0.0128533923793523	0.391750316903627
GSE1	23199	0.0128570166810366	-0.396150792390023
IGF2BP3	10643	0.0128661108894638	-0.715307579037416
		0.0128765336689588	0.273016290462585
WTH3DI///RAB6C///RAB6A	150786///84084///5870	0.0128779062805966	0.492146263471655
		0.0128813288153822	0.410753732913832
ATP5L	10632	0.0128815060310961	-0.592776764670072
		0.0129008549207149	0.418022589755101
AZIN2	113451	0.0129019763553988	0.498878627656461
INPPL1	3636	0.0129031229524921	-0.434395942835603
ARHGDIG	398	0.0129031229524921	0.681677706979591
		0.0129038175108646	-0.491282206922904
IPCEF1///CNKSR3	26034///154043	0.012913297544087	2.04507233285827
VSTM4	196740	0.0129173079916598	-0.470973822987529
GNA13///GNA13	10672///10672	0.0129347122567583	0.625991257074826
		0.0129386918371755	-1.03821837243991
RGL3	57139	0.0129386918371755	0.346858168782311
ANK1	286	0.0129412246980785	-0.735268779774377
LIMD1	8994	0.0129572648936112	-0.846677906356009
KLRF1	51348	0.0129587617304112	1.35372224832653
		0.0129701303100593	0.354452620011337
GPATCH4	54865	0.0129701303100593	0.571076975035147
RPLP1	6176	0.0129951614804712	-0.946390634539684
BRE	9577	0.0129951614804712	-0.371763002425173
		0.013020847642667	0.303236515190476
DHRS4L1///DHRS4L2///DHRS4	728635///317749///10901	0.0130220603693085	-0.749675742507938
TGIF1	7050	0.0130220603693085	-0.461500200558958
SNHG16///SNORD1C///SNHG16	100507246///677850///100507246	0.0130220603693085	0.661746951721088
LPIN2	9663	0.0130232464727342	0.895901076708616
		0.0130293577982061	0.48698946786621
KPTN	11133	0.0130334114779083	-0.378469265986396
NFKBIL1	4795	0.013046686409339	0.381623749647391
AP3M1	26985	0.0130568749499422	-0.29226315682086
TERF2IP	54386	0.0130814139295448	0.396110300165534
TMEM110-MUSTN1///MUSTN1	100526772///389125	0.0130883469006534	0.482236942003398
SAP18	10284	0.0131033882781472	-0.463419597969391
		0.0131033882781472	0.417664450978457
		0.0131130991080361	0.683112372023808
		0.0131168794278234	-0.458161574408163
		0.0131310413024428	0.654115101361677
APOL2	23780	0.0131347601718292	0.727587073654194
GPAT2	150763	0.0131385951553764	0.350045993912697
		0.0131390292717078	0.355756357273241
GPS2	2874	0.0131429715137332	0.323208385290251
QTRT2	79691	0.0131448196502919	-0.500084462719955
		0.0131539341077654	0.394580713049886
PRRG1	5638	0.0131619192235933	-0.435187025953516
CACTIN	58509	0.0131713341994921	0.329412868628116
KRT33B	3884	0.0132179671199888	0.399196623770974
COX7B	1349	0.0132234669502009	-0.859794059774378
SLC30A1	7779	0.0132255217689165	-0.666631071868481
		0.0132351248210616	-0.454199967792519
AVPR1A	552	0.0132421324611514	-0.693283228676871
CELF2-AS1	414196	0.0132652317480768	0.767466273157596
OR7E37P///MGC72080///OR7E5P///DAPL1///OR7E47P///OR7E12P///OR7E14P	100506759///389538///219445///92196///26628///10821///10819	0.0132796384056611	0.810893723445578
PEX12	5193	0.0133019007101204	0.531847179775509
		0.0133074891428333	-0.592069655920636
		0.0133155588899587	0.442414787458048
GNAQ	2776	0.0133179564215113	-1.92104530529252
		0.0133179564215113	-0.520033053107711
		0.0133389972532187	0.575221142037414
TBC1D3I///TBC1D3E///LOC101060389///TBC1D3L///TBC1D3K///TBC1D3G///TBC1D3H///TBC1D3///TBC1D3P2///TBC1D3C///TBC1D3B///TBC1D3F	102724862///102723859///101060389///101060376///101060351///101060321///729877///729873///440452///414060///414059///84218	0.0133427865813112	0.462132657814056
SLC35A3	23443	0.0133493400205518	-0.753849553612245
GPATCH11	253635	0.0133859105321685	-0.678922108684809
FAM231A///LOC388692	729574///388692	0.0134037694718454	0.404166000924035
NDUFAB1	4706	0.0134070172670943	-0.743183611803856
HS6ST1	9394	0.0134252753213717	-0.357145991368482
RNU5D-1	26830	0.0134271708352422	-1.71636017601701
TADA2A	6871	0.0134278540914768	-0.698743651373017
		0.0134278540914768	1.04315052026984
PLXDC1	57125	0.0134384424868517	1.31827324185941
		0.0134404047297151	-1.4662604417517
CRACR2A	84766	0.0134431091283101	0.84167142954535
LOC728613///PDCD6	728613///10016	0.013449757005904	0.545653276994329
PPEF2	5470	0.0134593418295481	0.301505284682539
CDC14A	8556	0.0134728304822689	0.849690291511335
LRRIQ3	127255	0.0134982837642658	0.36858849117347
DEDD	9191	0.0134982837642658	0.512360964619041
TTC19	54902	0.0135037813171419	-0.67840293723016
USP5	8078	0.0135037813171419	-0.782156661640593
ILDR1	286676	0.0135050895295337	0.509306219439909
		0.0135056675593162	0.45202077606576
EIF2A	83939	0.0135117758032954	-0.878025802219957
		0.0135268543094699	-0.419963151503401
MEIS2	4212	0.0135268543094699	-0.448767597037417
LOC100128398	100128398	0.0135301349216657	0.567765904247167
		0.0135456778942682	0.474118246461451
CRYBG3	131544	0.0135585560350609	-1.14657737376191
MYO3B	140469	0.0135630780306949	0.319219260416099
NHLRC3	387921	0.0135842834072423	-0.9137355628288
RPS6KA6	27330	0.0135843238172544	0.548141967075963
C2orf15	150590	0.0135894928602075	0.620260301531746
IMMP2L	83943	0.0135911817059567	-0.704255946849207
NDUFS3	4722	0.0135928255876532	-0.632247625066899
GPATCH2	55105	0.0136391099952954	-0.857818834320864
		0.013640518972589	0.440326600668933
PITRM1	10531	0.013640518972589	-0.686638775541951
XPNPEP2	7512	0.013640518972589	0.302999554632652
CA8	767	0.0136425973950935	-0.697428927487529
NDUFV1	4723	0.0136496938329369	-0.614722975049888
PNPT1	87178	0.0136592530034232	-0.85698319704762
NUDT15	55270	0.0136623467061236	-0.498222283397959
FYTTD1	84248	0.0136663173703834	-0.721295302581633
POLR2J3///POLR2J2///POLR2J4///POLR2J	548644///246721///84820///5439	0.0136687571573466	0.908956167945574
SPAG6	9576	0.0136751914571622	-0.920219289543085
ZBTB37	84614	0.013677854187692	0.561141261171199
		0.0136785283656026	0.788064941993196
ODF2	4957	0.0136798002824363	-0.339736174871883
ATG9B	285973	0.0136803444979758	0.30177790085034
PLIN3	10226	0.0136988546450457	-0.730534729068029
		0.0136988546450457	0.72731695778458
		0.0136988546450457	0.567140418920632
THSD7A	221981	0.0137025150017227	-0.664556848797053
		0.0137025150017227	0.402478741840137
LINC01296	642477	0.013706651587301	-0.631974746339003
HMGB3P1	128872	0.0137082158824793	0.36215432810204
PHF14	9678	0.0137082158824793	-1.08983315240363
WDPCP	51057	0.0137249524318873	-0.738379605171203
		0.0137301646007486	-0.89362786511111
ALCAM	214	0.0137360770708854	-0.904458146360549
DIRAS3	9077	0.0137443604325706	-0.382281107123584
FOSL2	2355	0.0137537642332003	-1.37953396552268
IL17A	3605	0.0137608554702915	0.352282459023808
ASNA1	439	0.013761030803683	-0.304961254970524
DKFZp779M0652	374387	0.0137871623263772	0.450623609178003
LINC01011	401232	0.0137911418109721	0.437848603896825
		0.0138069174384819	0.799814770617915
GPC6	10082	0.0138168419336588	-0.762852268621315
IRF4	3662	0.0138505353535422	1.41197895099886
PSMC5	5705	0.0138552851534734	-1.06106074496599
GRK6	2870	0.0138835148539769	0.562438115166662
CSNK1G3	1456	0.0138975335797233	0.599861036687072
SLC9A8	23315	0.0139327379532163	0.752559918183673
		0.0139415868083284	-1.45948732222903
FTH1	2495	0.0139469077145368	0.984654638676869
RRN3	54700	0.0139469077145368	-0.989380101887757
		0.0139614420846365	-0.476785754045352
FSIP1	161835	0.0139614420846365	-0.305790236700681
		0.0139633939660588	-0.790580285078232
EDAR	10913	0.0139756983294665	0.987094558744896
		0.0139822935191327	0.514819241784578
PROSER2	254427	0.013985848225639	-0.386466362090705
NXPE4	54827	0.0139915111887697	0.268626792058956
		0.0139984123474843	0.45138477215873
		0.0140097613152386	0.43088641265646
		0.0140163105809163	0.501121358850339
		0.0140168137577685	-0.868188773073696
FKBP3	2287	0.0140468321837147	-0.916552167409297
ISG15	9636	0.0140472127956673	0.552289125472788
		0.0140507623673506	0.9587896650839
DGKG	1608	0.0140730784364598	-0.952789447073698
CNR1	1268	0.0140883753029242	0.582091552339002
CDC42EP3	10602	0.0140883753029242	1.09610742154422
LY6G5B	58496	0.0140981243494091	0.405028785616777
MBNL1	4154	0.0141050151664858	0.448468087879817
FBXL3	26224	0.0141081766666816	0.421818198400222
RNF183	138065	0.0141081766666816	0.398174530430839
LOC554223	554223	0.0141081766666816	0.675610478267573
DDR1	780	0.0141082116474816	0.41357747292857
		0.0141084625531868	0.52458801890476
VIM	7431	0.0141152766706008	-0.696426379680275
		0.0141362112085347	0.777189904730158
DNAL1	83544	0.0141394403267208	-0.439900130696146
HELQ	113510	0.0141394403267208	0.790324084098637
AKR7L	246181	0.0141523409104731	-0.434113906848074
		0.0141585823094563	0.75720317599433
CORO1C	23603	0.0141637095109804	-1.36843177178005
		0.0141782291134781	0.680254273121314
		0.0141885910934401	0.330904578565758
		0.0141906705915723	0.347603543545352
PRPF38A	84950	0.0141969046271863	-0.345217701995464
TREH	11181	0.0141972224639791	0.365706490140591
		0.0141993894323098	0.706404305984127
		0.0142028036608043	0.796276270080499
PDE7A	5150	0.0142083605971041	0.751564003964851
IPPK	64768	0.0142083605971041	0.394178809761902
		0.0142277275424639	0.519834138564625
		0.0142341191026772	-0.563462525242631
FAM171B	165215	0.0142362571101173	-0.939332001564627
RBM33	155435	0.0142704343759087	0.404454477912697
		0.0143041267639478	-0.363261533979598
		0.0143041267639478	0.393144851587302
		0.0143178692486607	0.626096640740362
		0.0143311768727168	0.429986728285714
ASAP3	55616	0.0143606818733212	0.353144915930838
TRPM2	7226	0.0143681957576827	-0.547022754527211
		0.0143681957576827	-1.50089723506236
EIF3E	3646	0.0143851362799645	-1.28337227803061
FOXP1	27086	0.0144523973125841	0.491234528626983
		0.0144788214275614	-0.662288595732425
		0.0144836259080824	-1.14217398449207
CTIF	9811	0.0145453653599033	-0.376535657782314
		0.0145545447911981	-0.847995760998868
		0.0145609688803665	0.500889071155326
LSM4	25804	0.0145682449898852	-0.503492345089571
		0.0145682449898852	0.539292994280041
		0.0145818171180533	-0.901331923656466
GBP3	2635	0.0145959549102707	0.623204545776642
NENF	29937	0.0146006210721921	-0.52368299517007
RDX	5962	0.0146152499800863	-0.682184827014738
CLEC5A	23601	0.014618090276555	-1.14352269422109
GYG2	8908	0.0146280735533508	-0.345128376579366
NCAPD2	9918	0.0146416659588506	-0.522592289011341
SERPINF2	5345	0.0146496903432245	-0.338661612097507
		0.0146621216912316	-0.491404591163267
HNRNPA1P6///HNRNPA1P33///HNRNPA1P27///HNRNPA1P10///HNRNPA1L2///HNRNPA1	729423///728643///664721///664709///144983///3178	0.0146644037206775	-0.952356833809526
LINC00998	401397	0.0146707538103625	-0.839863224224491
ZNF592	9640	0.0146727445875194	0.497683584490927
SNORD116-26	100033438	0.0146743037327565	1.04093459654422
TMEM60	85025	0.0146743037327565	0.729123383129251
		0.0146790534862147	0.650596430946711
		0.0146790534862147	-0.729991726327665
NDRG4	65009	0.0146790534862147	0.251121102217686
ALPI///ALPI	248///248	0.014682757033423	0.359093498595239
TNRC6A	27327	0.0146972825697846	0.587403487811788
CCNI2	645121	0.0147013404751629	0.630885023026077
TBC1D8B	54885	0.0147119328038357	-0.606552695159864
		0.0147401972437125	0.807853709447846
FARSB	10056	0.014742408033111	-1.2279595029161
RASGRF2	5924	0.0147425236172787	1.66437471354989
CIB3	117286	0.0147532941918095	0.380719151378683
NEDD8-MDP1///MDP1///CHMP4A	100528064///145553///29082	0.0147717677284641	0.531376204909296
RNF5P1///RNF5	286140///6048	0.0147841014958189	-0.701258022407033
SNORA60	677837	0.0147841014958189	0.97843818893084
BIRC3	330	0.0147985870771057	1.52022070382086
POLDIP3	84271	0.0148094692330653	-0.401611421065759
CCNT2	905	0.0148094692330653	0.451640949068027
ZNF625-ZNF20///ZNF625	100529855///90589	0.0148094692330653	-0.525039118442179
IL18R1///IL18R1	8809///8809	0.014809524779473	1.1823488301746
PPP1R32	220004	0.014809524779473	0.401822625309523
LPGAT1	9926	0.014809524779473	0.747340604183671
CDH23	64072	0.014809524779473	0.768792727867345
NRG2	9542	0.014809524779473	0.390531884407028
RBM14	10432	0.0148098891326583	-0.556005413633787
		0.0148144716010776	0.807476886797051
		0.0148173603451191	-0.548081000498868
		0.0148210782840542	-1.20126893728686
		0.0148218547452864	-0.496396380777779
OS9	10956	0.0148218547452864	-0.442397599312926
MXD4	10608	0.0148218547452864	0.28515094494671
		0.0148232301000895	0.710898310996599
DDAH2	23564	0.0148243646018754	-0.810066444061223
MED22	6837	0.0148638016329643	0.308797616936505
SUSD6	9766	0.0148826391936062	0.74062407874036
ADAM8	101	0.0148850357566972	1.01796088601701
		0.0148854564018523	0.684663193210884
SURF4	6836	0.0149023601902068	-0.451476079134927
DDIT4L	115265	0.014934786976841	-0.529014688749433
MKLN1	4289	0.014934786976841	0.44769378069274
KIR2DS2///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS4///KIR2DS1///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3	100132285///115653///57292///3813///3812///3811///3809///3806///3804///3803///3802///3813///3812///3811///3810///3808	0.0149429782998932	0.497975407400226
LOC389199	389199	0.0149429782998932	0.348684092075962
UACA	55075	0.0149453717725525	-0.615299238060091
OAF	220323	0.0149453717725525	-0.58112781689229
SHKBP1	92799	0.0149479290432525	0.785016429027211
MYPOP	339344	0.0149511399206581	0.350236488817459
C22orf15	150248	0.0149622245062006	0.321263757530611
		0.0149837325654588	-0.829701490120181
TEF	7008	0.0149895961533311	0.407912188358274
GID4	79018	0.0150119711785428	0.353532530037413
BCL2L11	10018	0.0150201306243	0.985677118778909
CREM	1390	0.0150384034362854	0.375214836921769
CRACR2A	84766	0.0150384034362854	0.567235278263037
VAV3	10451	0.0150487859048284	-0.864847563723358
		0.015076446527845	0.8162079460873
ZNF584	201514	0.015076446527845	-0.439022944471658
ERRFI1	54206	0.015076446527845	0.471290895591836
STAMBPL1	57559	0.0150852739402559	1.18369702697392
COPRS	55352	0.0150878843829732	-0.511842895842402
ADAMTS8	11095	0.0150924429084246	0.360361219418365
UBN2	254048	0.0151028934715353	0.383793726975054
TRAJ17///TRAV12-2	28738///28673	0.0151028934715353	1.48963864086395
SLC6A9	6536	0.0151028934715353	-0.569322786285714
		0.0151267378883457	0.431031342276643
UCN3	114131	0.015152723912508	0.429117531462585
		0.015152723912508	-0.498230029185943
		0.0151789460100334	-0.584657564566893
SCUBE1	80274	0.0151789460100334	-0.498338976079366
IL32	9235	0.0151789460100334	1.6041836978254
		0.0151789460100334	0.949020252634921
DPY19L2P2	349152	0.0151983501166852	-0.906900040356009
NMUR1	10316	0.0152204516373846	0.493743088201811
CDH1	999	0.0152403723644333	-0.705674588773244
HLA-H///HLA-B///HLA-A///HLA-B///HLA-A	3136///3106///3105///3106///3105	0.0152691338891421	0.683846528043084
MRPL47	57129	0.0153098944495199	-0.493559274411568
		0.0153105282843296	-0.740691885719957
GUSBP11	91316	0.015313804537501	0.375952642234692
WAC	51322	0.0153301714943286	0.580180751577094
UBE2E4P	286480	0.0153551170847349	0.726707403631517
B3GALT2	8707	0.0153686549275783	0.742230174314058
LOC100131510	100131510	0.0154131185003957	0.674766911112243
BCKDHB	594	0.0154132068456898	-1.21684552850113
CACYBP	27101	0.0154249195881253	-0.486291438681409
CAST	831	0.0154322739314829	0.658647195844669
TBC1D27	96597	0.0154322739314829	0.437791334317459
		0.0154322739314829	0.28830851619161
TEX10	54881	0.0154322739314829	-0.834790191956918
CDH24	64403	0.0154370404661355	-0.368516432529479
		0.0154581678717591	1.02377869268707
BIN1	274	0.0154674011306486	0.943287207743762
LOC100131763	100131763	0.0154674011306486	0.389722008494329
ZNF436	80818	0.0154711570398566	0.404486406185939
TLCD1	116238	0.0154822828347253	-0.371831116479592
WNT16	51384	0.0155087591452632	0.589451119575963
		0.0155464109279145	0.798653204675735
		0.0155539943622224	-0.4770679956712
GRPEL2	134266	0.0155539943622224	0.732398050308387
EPB41L2	2037	0.0155668281358862	-1.28795387680386
TBC1D3I///TBC1D3E///LOC101060389///TBC1D3L///TBC1D3K///TBC1D3G///TBC1D3H///TBC1D3///TBC1D3P2///TBC1D3C///TBC1D3B///TBC1D3F	102724862///102723859///101060389///101060376///101060351///101060321///729877///729873///440452///414060///414059///84218	0.0155864211216571	0.65143081255555
LIFR	3977	0.0156063963240578	-0.556547092947847
PTMA///PTMA	5757///5757	0.0156156702342959	-0.729889392190476
SUOX	6821	0.0156156702342959	-0.778417048433107
FGF10	2255	0.0156268887438634	-0.603838321460319
PSMB1	5689	0.0156396289638476	-0.401448868384357
ARPC5	10092	0.015675071494217	0.51910462495238
		0.0156879401128144	0.219656223287982
TRIM33	51592	0.0157045077588672	0.636352727156462
LOC645513///SEPT7P2///SEPT7P9	645513///641977///285961	0.0157047420380843	0.554173157473923
ATP5O	539	0.0157047420380843	-0.444825926891157
SOAT2	8435	0.0157240484729154	0.416549333167799
MTHFD2L	441024	0.0157248607547245	-0.587558056815194
KRT86///KRT85///KRT83///KRT81	3892///3891///3889///3887	0.0157404203778121	0.372622595977322
LEXM	163747	0.0157404203778121	0.439132400893423
		0.0157452790563352	1.02696562386961
UBBP4	23666	0.0157547966496029	-0.802272636630386
FAM187A///CCDC103	100528020///388389	0.0157587270311436	-0.336467827713154
		0.0157587270311436	0.454584467024942
SNORD116-9///SNORD116-7///SNORD116-5///SNORD116-3	100033421///100033419///100033417///100033415	0.0157587270311436	1.72940050797846
		0.0157630173563179	-0.278202187139456
RAB8B	51762	0.0157642261314434	0.566346876068023
THOP1	7064	0.0157726019234298	-0.399064275427441
EIF2B1	1967	0.0157726019234298	-0.607338313541952
		0.0157726019234298	-0.719992334826531
TXNRD3NB///TXNRD3	645840///114112	0.0158385576995505	-0.616478304189344
		0.0158466179349158	0.639469896929706
TWF1	5756	0.0158853812374425	0.369521077752834
ALOXE3	59344	0.0159014152873081	0.298254011104306
		0.0159081602372887	-1.4437899520102
HCG27	253018	0.0159085095843144	0.791600542725623
BTBD6	90135	0.0159179534559133	0.53904127524036
		0.0159182365762999	-0.768410543244901
